reaction_id,equation,reference
318,CHAL-X-101_MA + CHAL-X-101_MB -> CHAL-X-101,-9.21
319,CHAL-X-102_MA + CHAL-X-102_MB -> CHAL-X-102,-9.15
320,CHAL-X-103_MA + CHAL-X-103_MB -> CHAL-X-103,-9.14
321,CHAL-X-104_MA + CHAL-X-104_MB -> CHAL-X-104,-8.73
322,CHAL-X-105_MA + CHAL-X-105_MB -> CHAL-X-105,-8.61
323,CHAL-X-106_MA + CHAL-X-106_MB -> CHAL-X-106,-8.43
324,CHAL-X-107_MA + CHAL-X-107_MB -> CHAL-X-107,-7.95
325,CHAL-X-108_MA + CHAL-X-108_MB -> CHAL-X-108,-7.79
326,CHAL-X-109_MA + CHAL-X-109_MB -> CHAL-X-109,-7.46
327,CHAL-X-110_MA + CHAL-X-110_MB -> CHAL-X-110,-7.20
328,CHAL-X-111_MA + CHAL-X-111_MB -> CHAL-X-111,-6.92
329,CHAL-X-112_MA + CHAL-X-112_MB -> CHAL-X-112,-6.85
330,CHAL-X-113_MA + CHAL-X-113_MB -> CHAL-X-113,-6.62
331,CHAL-X-114_MA + CHAL-X-114_MB -> CHAL-X-114,-5.20
332,CHAL-X-115_MA + CHAL-X-115_MB -> CHAL-X-115,-5.08
333,CHAL-X-116_MA + CHAL-X-116_MB -> CHAL-X-116,-3.03
334,CHAL-X-117_MA + CHAL-X-117_MB -> CHAL-X-117,-2.40
335,CHAL-X-118_MA + CHAL-X-118_MB -> CHAL-X-118,-1.48
336,CHAL-X-119_MA + CHAL-X-119_MB -> CHAL-X-119,-0.66
